poem,distance
Марков С.Н._И-толпа-по-своему-права---_Х5мж,13.160279806052717
Ушаков Н.Н._Краток-день-/-и-вот-приходят-сроки---_Х5жм; Я4м,13.163173846853008
Рождественский В.А._Если-колкой-вьюгой-ветром-встречным_Х5жм,13.168421757159324
Кузьмина-Караваева Е.Ю._Вечера-мои-перекликаются._Х5дж,13.170775058976673
"Туроверов Н.Н._Поднимал-всё-выше-ты-и-выше_Х5жм; Х4ж,м",13.17485765866319
Кедрин Д.Б._После-ночи-пьяного-разгула_Х5жм,13.177801780593283
Поплавский Б.Ю._В-зимний-день-все-кажется-далеким_Х5жм,13.179380233891491
Горлин М.Г._Мокрою-редеющей-листвою_Х5ж,13.179813115937826
Шервинский С.В._В-общем-Ялта-вся-похожа-чем-то-_Х5жм,13.183354894392759
Кленовский Д.И._В-день-когда-уже-ничто-не-может_Х5жм,13.189947118264957
Катаев В.П._Я-не-думал-чтоб-смогла-так-сильно_Х5жм,13.195855619337626
Эренбург И.Г._Я-бы-мог-прожить-совсем-иначе_Х5жм; Х6м,13.20133378437771
Асеев Н.Н._Женщина-причесывает-море_Х5жм,13.206497390691792
Смеляков Я.В._Много-лет-и-много-дней-назад_Х5м,13.207446900608547
Лапин Б.М._Спит-тютюн.-Не-движется-осока_Х5жм,13.208115644081552
Ахматова А.А._Многое-еще-наверно-хочет_Х5жм,13.208476557194041
Эренбург И.Г._Может-можно-отойти-вернуться_Х5жм; Х2ж,13.210186672478855
Поплавский Б.Ю._В-зимний-день-на-небе-неподвижном_Х5жм,13.211519415247887
Поплавский Б.Ю._Серый-день-смеркается-все-гаснет_Х5жм,13.214609711273955
Семенов Г.С._Соловьи-безумствовали.-Ветер_Х5жм,13.216125105522117
Корнилов Б.П._Дни-мальчишки-/-Вы-ушли-хорошие_Х5жм; Х5д,13.217619961118906
Поплавский Б.Ю._На-балконе-плакала-заря_Х5жм,13.217964522131366
Белоцветов Н.Н._И-тогда-в-холодную-могилу_Х5жм,13.219264654975381
Смеляков Я.В._Оценив-строителей-старанье_Х5жм,13.220048966369355
Цветаева М.И._Сини-подмосковные-холмы_Х5мж,13.220725652727825
Гумилев Н.С._Не-всегда-чужда-ты-и-горда_Х5м,13.221097791046452
Дмитриева Е.И._В-темном-поле----только-вереск-жесткий_Х5ж,13.223473295724855
Корнилов Б.П._Верно-пять-часов-утра-/-не-боле._Х5жм,13.240778192710613
Зарудин Н.Н._Снимем-шапки.-Вот----они-в-тумане_Х5жм; Х6м,13.242086461138484
Туроверов Н.Н._Зеленей-трава-не-может-быть_Х5мж,13.24224232927431
Кузьмина-Караваева Е.Ю._Трудный-путь-мы-избирали-вольно_Х5ж,13.242298649977743
Светлов М.А._Ночь-стоит-у-взорванного-моста_Х5жм,13.245821998385122
Штейгер А.С._Были-очень-детские-мечты_Х5мж,13.24752904201251
Поплавский Б.Ю._На-песке-в-счастливый-час-прибоя_Х5жм,13.249043570513344
Поплавский Б.Ю._В-теплый-час-над-потемневшим-миром_Х5жм; Дк5м,13.24996605171385
Ушаков Н.Н._Паучок-летит-на-паутинке_Х5жм,13.250112301603467
Цветаева М.И._Умирая-не-скажу:-была._Х5мж,13.251467061405116
Эренбург И.Г._На-ночь-глядя-выслали-дозоры._Х5ж,13.253929310209232
Андреев Д.Л._Предоставь-себя-ночи-метельной_Х5жм,13.26601991228388
Шкапская М.М._Ничему-далекому-не-верю-_Х5жм,13.268544962902112
Рождественский В.А._Я-люблю-железные-дороги_Х5жм,13.27105616086521
Прокофьев А.А._Задрожала-нет----затрепетала_Х5жм,13.273726984556006
Петров С.В._Далеко-и-рядом----как-за-стенкой---_Х5жм,13.282270628079585
Андреев Д.Л._Без-небесных-хоров-без-видений_Х5жм,13.28753682108212
Ахматова А.А._Под-навесом-темной-риги-жарко_Х5ж,13.28928835153957
Туроверов Н.Н._Было-их-с-урядником-тринадцать_Х5жм,13.290747027124315
Смеляков Я.В._Я-не-знаю-много-или-мало_Х5жм,13.291283626842215
Кузьмина-Караваева Е.Ю._Господи-на-этой-вот-постели_Х5жм,13.291859003543713
Ахматова А.А._Черную-и-прочную-разлуку_Х5жм,13.295558766352517
"Эренбург И.Г._Я-люблю-тебя-за-запах-жесткий_Х5жм; Х6ж,м",13.295691685772512
Светлов М.А._С-первого-пожатия-руки_Х5мж,13.299416488908548
Эренбург И.Г._Вечером-поля-творят-молебен_Х5жм; Х6ж,13.30274417788133
Асеев Н.Н._Звук-забылся-/-боли-было-мало..._Х5жм,13.304250311635418
Тарловский М.А._«Что-ты-кто-ты-сердце-человечье_Х5жм,13.304424189158143
"Петров С.В._Над-Европой-небо----цвета-дыма._Х5жм; Х4ж,м",13.309061241134263
Шервинский С.В._Возле-моря-помню-я-агаву-_Х5жм,13.309662122506936
Марков С.Н._Там-где-волны-дикий-камень-мылят_Х5жм,13.315848938037991
Полонская Е.Г._Ветер-с-моря-ленинградский-ветер_Х5жм,13.318132156121633
"Меркурьева В.А._Легкою-предстанет-переправа_Х5ж,м",13.323429942006959
Ушаков Н.Н._Семена-крылатые-и-зерна_Х5жм,13.325357672829186
Берггольц О.Ф._Буро-желтый-как-сухая-глина_Х5жм; Х5д,13.32573195327795
Семенов Г.С._Как-же-я-скажу-тебе-«прости»_Х5м,13.335597922187379
Цветаева М.И._Ваши-белые-могилки-рядом_Х5жм,13.340648772654804
Штейгер А.С._Лес-вдали-стоит-уже-немой._Х5мж,13.342619121912115
"Кнут Д. (Фиксман Д.М.)_Тише...-Что-ж-что-оказалось-ложью_Х5ж,м",13.343583802546286
Горький М. (А.М.Пешков)_Рыжая-как-ржавое-железо_Х5ж,13.3443849964657
"Поплавский Б.Ю._Летний-вечер-темен-и-тяжел_Х5ж,м",13.34556354948073
Ахматова А.А._Где-то-кошки-жалобно-мяукают_Х5дм,13.348099449127542
Кузьмина-Караваева Е.Ю._Развинтил-винты-ослабил-скрепы_Х5жм,13.348423024358407
Ходасевич В.Ф._За-окном----ночные-разговоры_Х5жм,13.350769326839103
Бунин И.А._Не-устану-воспевать-вас-звезды!_Х5ж,13.350862607200183
Луговской В.А._Мальчики-заводят-на-горе_Х5мж,13.351154356546143
Крандиевская Н.В._Лето-ленинградское-в-неволе._Х5жм,13.352635640664191
Лившиц Б.К._Дрожь-твоих-ресниц-я-видел-Мэри._Х5жм,13.359213691066586
Кузьмина-Караваева Е.Ю._Господи-средь-звезд-Тебе-покорных_Х5жм,13.359964900431567
Ахматова А.А._Запад-клеветал-и-сам-же-верил_Х5жм,13.362502851713817
Есенин С. А._Месяц-рогом-облако-бодает_Х5жм,13.363247731070606
Кузьмина-Караваева Е.Ю._Снова-здесь;-среди-мирских-равнин_Х5мж,13.367473692784648
Эренбург И.Г._Кончен-бой.-Над-горем-и-над-славой_Х5ж,13.368466237770024
Халафов К.К._Ночью-выпал-снег:-внезапный-синий_Х5жм,13.374250019483835
Кирсанов С.И._Мы-теперь-еще-не-вместе-спим._Х5мж,13.378582091872959
Северянин И._Весен-всех-былых-весна-весенней_Х5жм,13.379692342122544
Кузьмина-Караваева Е.Ю._Не-хотят-колючие-слова_Х5мж,13.382294126833054
Рождественский В.А._Что-стихи-что-таинства-Киприды_Х5жм,13.388544423573418
Штейнберг А.А._Пред-рассветом-улицей-безлюдной_Х5жм,13.38866248257532
Пастернак Б.Л._Не-как-люди-не-еженедельно_Х5жм,13.389240205754783
Крандиевская Н.В._Сыплет-звёзды-август-холодеющий_Х5дж,13.39071220151794
Семеновский Д.Н._Всем-нам-всем:-цветам-деревьям-людям_Х5жм,13.394004972309576
Гумилев Н.С._Нежной-бледной-в-пепельной-одежде_Х5жм,13.394285682813418
Луговской В.А._Шевеля-косматыми-плечами_Х5жм,13.394662708647449
Ковынев Б.К._Человеку-так-дано-от-века!_Х5жм,13.396893159299935
Смеляков Я.В._Трудно-называться-мне-поэтом_Х5жм,13.397199540860381
Иевлева В.Н._Темной-ночью-я-вышел-в-дорогу_Х5жм,13.404774422535112
Гумилев Н.С._Из-букета-целого-сиреней_Х5жм,13.405798766654499
"Иванов Г.В._В-глубине-на-самом-дне-сознанья_Х5ж,м",13.4133662837429
Есенин С. А. | dubium_В-эту-ночь-тревожно-голубую_Х5ж; Х2ж,13.414413403865044
Мартынов Л.Н._Серый-час-был-мутен-и-обманчив_Х5ж,13.41457171809927
Поплавский Б.Ю._Слабый-вереск-на-границе-смерти._Х5жм,13.424440224337376
Прокофьев А.А._Как-сказать-тебе-об-этом-лучше?_Х5жм; Х5д,13.431034227783153
Сартовский Г.Г._Ночь-крадется-в-шорохах-чуть-слышных_Х5жм,13.436139884941163
